trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,16,8.349076586782614,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,9,21.791771598728626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,3,36.603659535572525,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,16,7.06493639257968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,10,0.9882176788297636,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,11,17.407127619488225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,5,42.495790870825,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,16,3.020946003715756,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,10,14.762002355031475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,11,26.131863622283202,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,16,8.056703808195579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,8,21.260578116505528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,11,16.104675089679326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
